Date (GMT+1),Day Ahead Auction EXAA (DE-LU)
,"Price (EUR/MWh, EUR/tCO2)"
2021-01-01T00:00+01:00,75.83
2021-01-01T00:15+01:00,63.16
2021-01-01T00:30+01:00,54.65
2021-01-01T00:45+01:00,35.5
2021-01-01T01:00+01:00,64.66
2021-01-01T01:15+01:00,54.86
2021-01-01T01:30+01:00,45
2021-01-01T01:45+01:00,39.31
2021-01-01T02:00+01:00,54.26
2021-01-01T02:15+01:00,49.42
2021-01-01T02:30+01:00,34.93
2021-01-01T02:45+01:00,30.72
2021-01-01T03:00+01:00,46.63
2021-01-01T03:15+01:00,42.09
2021-01-01T03:30+01:00,32.67
2021-01-01T03:45+01:00,33.54
2021-01-01T04:00+01:00,46.06
2021-01-01T04:15+01:00,37.6
2021-01-01T04:30+01:00,37.19
2021-01-01T04:45+01:00,32.4
2021-01-01T05:00+01:00,55.6
2021-01-01T05:15+01:00,48.46
2021-01-01T05:30+01:00,34.5
2021-01-01T05:45+01:00,6.38
2021-01-01T06:00+01:00,39.3
2021-01-01T06:15+01:00,29.41
2021-01-01T06:30+01:00,18.05
2021-01-01T06:45+01:00,26.37
2021-01-01T07:00+01:00,19.28
2021-01-01T07:15+01:00,23.78
2021-01-01T07:30+01:00,35.74
2021-01-01T07:45+01:00,47.64
2021-01-01T08:00+01:00,14.76
2021-01-01T08:15+01:00,26.65
2021-01-01T08:30+01:00,39.9
2021-01-01T08:45+01:00,45.48
2021-01-01T09:00+01:00,30.47
2021-01-01T09:15+01:00,25.24
2021-01-01T09:30+01:00,42.25
2021-01-01T09:45+01:00,43.17
2021-01-01T10:00+01:00,35.09
2021-01-01T10:15+01:00,36.73
2021-01-01T10:30+01:00,40.72
2021-01-01T10:45+01:00,46
2021-01-01T11:00+01:00,39.69
2021-01-01T11:15+01:00,41.83
2021-01-01T11:30+01:00,49.22
2021-01-01T11:45+01:00,49.27
2021-01-01T12:00+01:00,49.56
2021-01-01T12:15+01:00,46.72
2021-01-01T12:30+01:00,45.2
2021-01-01T12:45+01:00,33.16
2021-01-01T13:00+01:00,50.2
2021-01-01T13:15+01:00,44.38
2021-01-01T13:30+01:00,42.53
2021-01-01T13:45+01:00,40.84
2021-01-01T14:00+01:00,39.9
2021-01-01T14:15+01:00,42.68
2021-01-01T14:30+01:00,45.07
2021-01-01T14:45+01:00,46.56
2021-01-01T15:00+01:00,35.34
2021-01-01T15:15+01:00,43.3
2021-01-01T15:30+01:00,48.67
2021-01-01T15:45+01:00,51.57
2021-01-01T16:00+01:00,33.94
2021-01-01T16:15+01:00,42.73
2021-01-01T16:30+01:00,52.25
2021-01-01T16:45+01:00,64.47
2021-01-01T17:00+01:00,42.25
2021-01-01T17:15+01:00,51.53
2021-01-01T17:30+01:00,58.63
2021-01-01T17:45+01:00,60.63
2021-01-01T18:00+01:00,56.51
2021-01-01T18:15+01:00,54.16
2021-01-01T18:30+01:00,49.19
2021-01-01T18:45+01:00,55.23
2021-01-01T19:00+01:00,60.8
2021-01-01T19:15+01:00,56.57
2021-01-01T19:30+01:00,51.38
2021-01-01T19:45+01:00,43.16
2021-01-01T20:00+01:00,69.7
2021-01-01T20:15+01:00,55.93
2021-01-01T20:30+01:00,47.19
2021-01-01T20:45+01:00,39.18
