Day,"Gas (NCG, THE)"
,"Price (EUR/MWh, EUR/tCO2)"
01.01.2021,18.463
02.01.2021,
03.01.2021,
04.01.2021,18.561
05.01.2021,19.529
06.01.2021,18.017
07.01.2021,17.398
08.01.2021,18.493
09.01.2021,19.72
10.01.2021,
11.01.2021,19.824
12.01.2021,21.264
13.01.2021,25.024
14.01.2021,21.642
15.01.2021,20.376
16.01.2021,19.765
17.01.2021,
18.01.2021,19.81
19.01.2021,18.901
20.01.2021,19.674
21.01.2021,19.975
22.01.2021,19.39
23.01.2021,20.368
24.01.2021,
25.01.2021,20.568
26.01.2021,20.058
27.01.2021,19.01
28.01.2021,18.913
29.01.2021,19.968
30.01.2021,20.101
31.01.2021,
01.02.2021,20.286
02.02.2021,18.112
03.02.2021,18.064
04.02.2021,17.389
05.02.2021,17.866
06.02.2021,18.333
07.02.2021,
08.02.2021,18.676
09.02.2021,20.794
10.02.2021,19.978
11.02.2021,20.002
12.02.2021,18.485
13.02.2021,18.221
14.02.2021,
15.02.2021,18.257
16.02.2021,17.461
17.02.2021,17.105
18.02.2021,17.109
19.02.2021,17.109
20.02.2021,16.656
21.02.2021,
22.02.2021,16.737
23.02.2021,16.027
24.02.2021,16.106
25.02.2021,16.13
26.02.2021,16.209
27.02.2021,15.994
28.02.2021,
01.03.2021,16.147
02.03.2021,16.639
03.03.2021,16.54
04.03.2021,16.24
05.03.2021,16.567
06.03.2021,16.964
07.03.2021,
08.03.2021,17.059
09.03.2021,17.267
10.03.2021,17.63
11.03.2021,18.093
12.03.2021,18.32
13.03.2021,18.64
14.03.2021,
15.03.2021,18.798
16.03.2021,18.976
17.03.2021,18.226
18.03.2021,18.425
19.03.2021,18.745
20.03.2021,18.052
21.03.2021,
22.03.2021,18.13
23.03.2021,18.446
24.03.2021,18.599
25.03.2021,18.906
26.03.2021,18.659
27.03.2021,18.785
28.03.2021,
29.03.2021,18.81
30.03.2021,18.505
31.03.2021,18.669
01.04.2021,19.247
02.04.2021,19.575
03.04.2021,
04.04.2021,
05.04.2021,
06.04.2021,19.719
07.04.2021,20.6
08.04.2021,20.536
09.04.2021,20.159
10.04.2021,19.662
11.04.2021,
12.04.2021,19.927
13.04.2021,20.709
14.04.2021,20.886
15.04.2021,20.799
16.04.2021,21.206
17.04.2021,21.477
18.04.2021,
19.04.2021,21.529
20.04.2021,21.784
21.04.2021,21.585
22.04.2021,21.59
23.04.2021,21.94
24.04.2021,20.559
25.04.2021,
26.04.2021,20.741
27.04.2021,20.838
28.04.2021,21.576
29.04.2021,22.11
30.04.2021,22.512
01.05.2021,23.474
02.05.2021,
03.05.2021,
04.05.2021,23.475
05.05.2021,24.248
06.05.2021,24.522
07.05.2021,25.472
08.05.2021,24.313
09.05.2021,
10.05.2021,24.31
11.05.2021,25.383
12.05.2021,25.804
13.05.2021,26.609
14.05.2021,25.995
15.05.2021,27.008
16.05.2021,
17.05.2021,27.078
18.05.2021,26.558
19.05.2021,25.429
20.05.2021,23.128
21.05.2021,24.226
22.05.2021,25.031
23.05.2021,
24.05.2021,25.05
25.05.2021,24.835
26.05.2021,25.993
27.05.2021,26.852
28.05.2021,25.786
29.05.2021,25.076
30.05.2021,
31.05.2021,
01.06.2021,25.039
02.06.2021,26
03.06.2021,25.628
04.06.2021,25.86
05.06.2021,25.733
06.06.2021,
07.06.2021,25.832
08.06.2021,26.54
09.06.2021,27.825
10.06.2021,28.302
11.06.2021,28.428
12.06.2021,27.973
13.06.2021,
14.06.2021,28.016
15.06.2021,29.109
16.06.2021,28.2
17.06.2021,28.201
18.06.2021,28.202
19.06.2021,29.003
20.06.2021,
21.06.2021,29.053
22.06.2021,29.967
23.06.2021,30.48
24.06.2021,31.329
25.06.2021,31.691
