Date (GMT+1),"Load forecast (Day-Ahead, D-1 12:00)"
,Power (MW)
2020-01-01T00:00+01:00,46215.1
2020-01-01T00:15+01:00,45703.3
2020-01-01T00:30+01:00,45226.3
2020-01-01T00:45+01:00,44742
2020-01-01T01:00+01:00,43914.9
2020-01-01T01:15+01:00,43769.8
2020-01-01T01:30+01:00,43266.6
2020-01-01T01:45+01:00,42934.1
2020-01-01T02:00+01:00,42717.6
2020-01-01T02:15+01:00,42578.2
2020-01-01T02:30+01:00,42492.3
2020-01-01T02:45+01:00,42433.8
2020-01-01T03:00+01:00,42453.5
2020-01-01T03:15+01:00,42516.5
2020-01-01T03:30+01:00,42435.2
2020-01-01T03:45+01:00,42387.6
2020-01-01T04:00+01:00,42479.3
2020-01-01T04:15+01:00,42587.1
2020-01-01T04:30+01:00,42568.5
2020-01-01T04:45+01:00,42637.5
2020-01-01T05:00+01:00,42652.6
2020-01-01T05:15+01:00,42371.9
2020-01-01T05:30+01:00,42076.1
2020-01-01T05:45+01:00,41734.6
2020-01-01T06:00+01:00,40789.5
2020-01-01T06:15+01:00,40615
2020-01-01T06:30+01:00,40601.3
2020-01-01T06:45+01:00,40694.9
2020-01-01T07:00+01:00,40950.4
2020-01-01T07:15+01:00,41349.1
2020-01-01T07:30+01:00,42266.3
2020-01-01T07:45+01:00,43116.8
2020-01-01T08:00+01:00,43840.1
2020-01-01T08:15+01:00,44493.2
2020-01-01T08:30+01:00,44739.9
2020-01-01T08:45+01:00,45108.6
2020-01-01T09:00+01:00,46413.3
2020-01-01T09:15+01:00,47333.2
2020-01-01T09:30+01:00,47783.8
2020-01-01T09:45+01:00,47898.1
2020-01-01T10:00+01:00,48639.4
2020-01-01T10:15+01:00,49129.9
2020-01-01T10:30+01:00,49422.2
2020-01-01T10:45+01:00,49864.5
2020-01-01T11:00+01:00,50423.3
2020-01-01T11:15+01:00,50850.8
2020-01-01T11:30+01:00,51380.2
2020-01-01T11:45+01:00,51582.3
2020-01-01T12:00+01:00,51473.2
2020-01-01T12:15+01:00,51149.9
2020-01-01T12:30+01:00,50889.7
2020-01-01T12:45+01:00,50716.3
2020-01-01T13:00+01:00,50301.9
2020-01-01T13:15+01:00,49798.4
2020-01-01T13:30+01:00,49522.6
2020-01-01T13:45+01:00,49097.6
2020-01-01T14:00+01:00,48945.8
2020-01-01T14:15+01:00,48780.8
2020-01-01T14:30+01:00,48504.3
2020-01-01T14:45+01:00,48479.2
2020-01-01T15:00+01:00,48854.5
2020-01-01T15:15+01:00,48535.6
2020-01-01T15:30+01:00,48732.9
2020-01-01T15:45+01:00,48700.2
2020-01-01T16:00+01:00,49127.2
2020-01-01T16:15+01:00,49297.2
2020-01-01T16:30+01:00,50083.7
2020-01-01T16:45+01:00,50883.8
2020-01-01T17:00+01:00,52158.8
2020-01-01T17:15+01:00,52809.3
2020-01-01T17:30+01:00,53306.3
2020-01-01T17:45+01:00,53766.8
2020-01-01T18:00+01:00,54286.3
2020-01-01T18:15+01:00,54622.1
2020-01-01T18:30+01:00,54394.6
2020-01-01T18:45+01:00,54294.9
2020-01-01T19:00+01:00,54429.4
2020-01-01T19:15+01:00,53968.9
2020-01-01T19:30+01:00,53733.3
2020-01-01T19:45+01:00,53439.1
2020-01-01T20:00+01:00,52970.7
2020-01-01T20:15+01:00,52392.4
