Datum (MEZ),"Last Prognose (Day-Ahead, D-1 12:00)"
,Leistung (MW)
2022-01-01T00:00+01:00,42575.3
2022-01-01T00:15+01:00,42210.8
2022-01-01T00:30+01:00,41807.6
2022-01-01T00:45+01:00,41363.7
2022-01-01T01:00+01:00,40794.7
2022-01-01T01:15+01:00,40204.7
2022-01-01T01:30+01:00,39826.2
2022-01-01T01:45+01:00,39595.7
2022-01-01T02:00+01:00,39231.2
2022-01-01T02:15+01:00,39031.5
2022-01-01T02:30+01:00,38494.8
2022-01-01T02:45+01:00,38378.3
2022-01-01T03:00+01:00,38005.3
2022-01-01T03:15+01:00,37793.7
2022-01-01T03:30+01:00,37719.4
2022-01-01T03:45+01:00,37486.3
2022-01-01T04:00+01:00,37884.9
2022-01-01T04:15+01:00,37891.2
2022-01-01T04:30+01:00,37925.8
2022-01-01T04:45+01:00,37807.3
2022-01-01T05:00+01:00,37467.3
2022-01-01T05:15+01:00,37212.4
2022-01-01T05:30+01:00,36977.4
2022-01-01T05:45+01:00,36535.4
2022-01-01T06:00+01:00,35440
2022-01-01T06:15+01:00,35730.8
2022-01-01T06:30+01:00,35519.7
2022-01-01T06:45+01:00,35737.3
2022-01-01T07:00+01:00,35964.7
2022-01-01T07:15+01:00,36698.6
2022-01-01T07:30+01:00,37188.8
2022-01-01T07:45+01:00,37769.7
2022-01-01T08:00+01:00,38669.3
2022-01-01T08:15+01:00,39050.7
2022-01-01T08:30+01:00,39663.1
2022-01-01T08:45+01:00,40478.3
2022-01-01T09:00+01:00,41202.2
2022-01-01T09:15+01:00,41942.2
2022-01-01T09:30+01:00,42750.5
2022-01-01T09:45+01:00,43449.2
2022-01-01T10:00+01:00,43998.7
2022-01-01T10:15+01:00,44462.1
2022-01-01T10:30+01:00,44872.7
2022-01-01T10:45+01:00,45773.7
2022-01-01T11:00+01:00,46588
2022-01-01T11:15+01:00,47374.5
2022-01-01T11:30+01:00,48334.4
2022-01-01T11:45+01:00,48299.6
2022-01-01T12:00+01:00,48647.9
2022-01-01T12:15+01:00,48702.6
