Datum (MEZ),"Wind Offshore Prognose (Day-Ahead, D-1 18:00)"
,Leistung (MW)
2023-01-01T00:00+01:00,3468.6
2023-01-01T00:15+01:00,3477.2
2023-01-01T00:30+01:00,3480.8
2023-01-01T00:45+01:00,3485.7
2023-01-01T01:00+01:00,3381.6
2023-01-01T01:15+01:00,3386.7
2023-01-01T01:30+01:00,3394.9
2023-01-01T01:45+01:00,3397.1
2023-01-01T02:00+01:00,3403.2
2023-01-01T02:15+01:00,3379.8
2023-01-01T02:30+01:00,3393.4
2023-01-01T02:45+01:00,3406.3
2023-01-01T03:00+01:00,3421.2
2023-01-01T03:15+01:00,3397.5
2023-01-01T03:30+01:00,3406.8
2023-01-01T03:45+01:00,3415.4
2023-01-01T04:00+01:00,3421
2023-01-01T04:15+01:00,3429.3
2023-01-01T04:30+01:00,3432.6
2023-01-01T04:45+01:00,3441.7
2023-01-01T05:00+01:00,3445.4
2023-01-01T05:15+01:00,3452.4
2023-01-01T05:30+01:00,3458.4
2023-01-01T05:45+01:00,3462.3
2023-01-01T06:00+01:00,3462.4
2023-01-01T06:15+01:00,3462.8
2023-01-01T06:30+01:00,3464.2
2023-01-01T06:45+01:00,3466.7
2023-01-01T07:00+01:00,3473.1
2023-01-01T07:15+01:00,3473.7
2023-01-01T07:30+01:00,3475.3
2023-01-01T07:45+01:00,3480.9
2023-01-01T08:00+01:00,3484.3
2023-01-01T08:15+01:00,3485.2
2023-01-01T08:30+01:00,3485.2
2023-01-01T08:45+01:00,3483
2023-01-01T09:00+01:00,3485.2
2023-01-01T09:15+01:00,3485.6
2023-01-01T09:30+01:00,3487
2023-01-01T09:45+01:00,3489.3
2023-01-01T10:00+01:00,3488.5
2023-01-01T10:15+01:00,3488.6
2023-01-01T10:30+01:00,3489.6
2023-01-01T10:45+01:00,3489.7
2023-01-01T11:00+01:00,3491.8
2023-01-01T11:15+01:00,3489.4
2023-01-01T11:30+01:00,3489
2023-01-01T11:45+01:00,3517.5
2023-01-01T12:00+01:00,3548.1
2023-01-01T12:15+01:00,3543.6
2023-01-01T12:30+01:00,3542
2023-01-01T12:45+01:00,3583.5
2023-01-01T13:00+01:00,3582
2023-01-01T13:15+01:00,3572.6
2023-01-01T13:30+01:00,3573.5
2023-01-01T13:45+01:00,3538.1
2023-01-01T14:00+01:00,5522.3
2023-01-01T14:15+01:00,5510.6
2023-01-01T14:30+01:00,5505.7
2023-01-01T14:45+01:00,5491.8
2023-01-01T15:00+01:00,5477.4
2023-01-01T15:15+01:00,5786.2
2023-01-01T15:30+01:00,5761
2023-01-01T15:45+01:00,5735.7
2023-01-01T16:00+01:00,5708.4
2023-01-01T16:15+01:00,5682.2
2023-01-01T16:30+01:00,5654.9
2023-01-01T16:45+01:00,5638.2
2023-01-01T17:00+01:00,5609
2023-01-01T17:15+01:00,5567.6
2023-01-01T17:30+01:00,5529.2
2023-01-01T17:45+01:00,5488.9
2023-01-01T18:00+01:00,5445.8
2023-01-01T18:15+01:00,5421
2023-01-01T18:30+01:00,5388.4
