Date (GMT+1),"Wind onshore forecast (Day-Ahead, D-1 18:00)"
,Power (MW)
2020-01-01T00:00+01:00,5743.8
2020-01-01T00:15+01:00,5767
2020-01-01T00:30+01:00,5795
2020-01-01T00:45+01:00,5818.5
2020-01-01T01:00+01:00,5848.4
2020-01-01T01:15+01:00,5860
2020-01-01T01:30+01:00,5864.9
2020-01-01T01:45+01:00,5863.5
2020-01-01T02:00+01:00,5946.7
2020-01-01T02:15+01:00,5974.4
2020-01-01T02:30+01:00,6001.4
2020-01-01T02:45+01:00,6027.2
2020-01-01T03:00+01:00,6040.7
2020-01-01T03:15+01:00,6053.1
2020-01-01T03:30+01:00,6065.2
2020-01-01T03:45+01:00,6075.9
2020-01-01T04:00+01:00,6067.1
2020-01-01T04:15+01:00,6005.1
2020-01-01T04:30+01:00,5943.6
2020-01-01T04:45+01:00,5877.5
2020-01-01T05:00+01:00,5790.3
2020-01-01T05:15+01:00,5703.4
2020-01-01T05:30+01:00,5613.1
2020-01-01T05:45+01:00,5529.9
2020-01-01T06:00+01:00,5492.8
2020-01-01T06:15+01:00,5445.1
2020-01-01T06:30+01:00,5400.2
2020-01-01T06:45+01:00,5353.6
2020-01-01T07:00+01:00,5303
2020-01-01T07:15+01:00,5260.4
2020-01-01T07:30+01:00,5221.4
2020-01-01T07:45+01:00,5176.7
2020-01-01T08:00+01:00,5153.5
2020-01-01T08:15+01:00,5131.2
2020-01-01T08:30+01:00,5105.2
2020-01-01T08:45+01:00,5083.7
2020-01-01T09:00+01:00,5062.1
2020-01-01T09:15+01:00,5031.2
2020-01-01T09:30+01:00,4998.2
2020-01-01T09:45+01:00,4955
2020-01-01T10:00+01:00,4901.1
2020-01-01T10:15+01:00,4790.9
2020-01-01T10:30+01:00,4670.5
2020-01-01T10:45+01:00,4562.8
2020-01-01T11:00+01:00,4455.1
2020-01-01T11:15+01:00,4363.1
2020-01-01T11:30+01:00,4274.8
2020-01-01T11:45+01:00,4187.3
2020-01-01T12:00+01:00,4103.7
2020-01-01T12:15+01:00,4026.4
2020-01-01T12:30+01:00,3952.5
2020-01-01T12:45+01:00,3884.2
2020-01-01T13:00+01:00,3829.4
2020-01-01T13:15+01:00,3906.2
2020-01-01T13:30+01:00,3982.9
2020-01-01T13:45+01:00,4063.9
2020-01-01T14:00+01:00,4124.1
2020-01-01T14:15+01:00,4236.4
2020-01-01T14:30+01:00,4346.7
2020-01-01T14:45+01:00,4462.6
2020-01-01T15:00+01:00,4585
2020-01-01T15:15+01:00,4737.8
2020-01-01T15:30+01:00,4891.1
2020-01-01T15:45+01:00,5052
2020-01-01T16:00+01:00,5232.9
2020-01-01T16:15+01:00,5490.8
2020-01-01T16:30+01:00,5748.9
2020-01-01T16:45+01:00,6015.2
2020-01-01T17:00+01:00,6279.6
2020-01-01T17:15+01:00,6558
2020-01-01T17:30+01:00,6839.7
2020-01-01T17:45+01:00,7103.5
2020-01-01T18:00+01:00,7364.2
2020-01-01T18:15+01:00,7631
2020-01-01T18:30+01:00,7896.5
2020-01-01T18:45+01:00,8154
2020-01-01T19:00+01:00,8391.7
2020-01-01T19:15+01:00,8497.5
2020-01-01T19:30+01:00,8605.3
2020-01-01T19:45+01:00,8711.2
2020-01-01T20:00+01:00,8789.8
2020-01-01T20:15+01:00,8799.9
2020-01-01T20:30+01:00,8808.7
2020-01-01T20:45+01:00,8823.2
2020-01-01T21:00+01:00,8815.5
2020-01-01T21:15+01:00,8761.3
2020-01-01T21:30+01:00,8716.5
2020-01-01T21:45+01:00,8667.9
2020-01-01T22:00+01:00,8612.4
2020-01-01T22:15+01:00,8556.9
2020-01-01T22:30+01:00,8499.3
2020-01-01T22:45+01:00,8445.7
2020-01-01T23:00+01:00,8413.8
2020-01-01T23:15+01:00,8387.7
2020-01-01T23:30+01:00,8367.9
2020-01-01T23:45+01:00,8345.7
2020-01-02T00:00+01:00,7272.4
2020-01-02T00:15+01:00,7206
2020-01-02T00:30+01:00,7139.2
2020-01-02T00:45+01:00,7071.6
2020-01-02T01:00+01:00,7016.9
2020-01-02T01:15+01:00,7019
2020-01-02T01:30+01:00,7021.9
2020-01-02T01:45+01:00,7021.8
2020-01-02T02:00+01:00,7117.1
2020-01-02T02:15+01:00,7148.4
2020-01-02T02:30+01:00,7181.4
2020-01-02T02:45+01:00,7211.8
2020-01-02T03:00+01:00,7241
2020-01-02T03:15+01:00,7283.5
2020-01-02T03:30+01:00,7332.6
2020-01-02T03:45+01:00,7388.3
2020-01-02T04:00+01:00,7462.5
2020-01-02T04:15+01:00,7538.6
2020-01-02T04:30+01:00,7617.1
2020-01-02T04:45+01:00,7702.3
2020-01-02T05:00+01:00,7803.2
2020-01-02T05:15+01:00,7925.3
2020-01-02T05:30+01:00,8061.1
