Datum (MEZ),"Wind Onshore Prognose (Day-Ahead, D-1 18:00)"
,Leistung (MW)
2024-01-01T00:00+01:00,30161.3
2024-01-01T00:15+01:00,30005.7
2024-01-01T00:30+01:00,29871.2
2024-01-01T00:45+01:00,29773.6
2024-01-01T01:00+01:00,29733.2
2024-01-01T01:15+01:00,29684.2
2024-01-01T01:30+01:00,29643.7
2024-01-01T01:45+01:00,29617.9
2024-01-01T02:00+01:00,29596.3
2024-01-01T02:15+01:00,29580.8
2024-01-01T02:30+01:00,29545.5
2024-01-01T02:45+01:00,29483.7
2024-01-01T03:00+01:00,29389.8
2024-01-01T03:15+01:00,29307.1
2024-01-01T03:30+01:00,29250.2
2024-01-01T03:45+01:00,29184.9
2024-01-01T04:00+01:00,29178.1
2024-01-01T04:15+01:00,29118.7
2024-01-01T04:30+01:00,29073.4
2024-01-01T04:45+01:00,29032.5
2024-01-01T05:00+01:00,29025.2
2024-01-01T05:15+01:00,29099.1
2024-01-01T05:30+01:00,29150.1
2024-01-01T05:45+01:00,29214.4
2024-01-01T06:00+01:00,29380.2
2024-01-01T06:15+01:00,29491
2024-01-01T06:30+01:00,29607.7
2024-01-01T06:45+01:00,29717.8
2024-01-01T07:00+01:00,29744
2024-01-01T07:15+01:00,29755
2024-01-01T07:30+01:00,29773.1
2024-01-01T07:45+01:00,29799.3
2024-01-01T08:00+01:00,29891.6
2024-01-01T08:15+01:00,29951
2024-01-01T08:30+01:00,30011.1
2024-01-01T08:45+01:00,30032.4
2024-01-01T09:00+01:00,30045.1
2024-01-01T09:15+01:00,30013.6
2024-01-01T09:30+01:00,29951.1
2024-01-01T09:45+01:00,29926.4
2024-01-01T10:00+01:00,29911.3
2024-01-01T10:15+01:00,29952.8
2024-01-01T10:30+01:00,29955.8
2024-01-01T10:45+01:00,29997.4
2024-01-01T11:00+01:00,30031.4
2024-01-01T11:15+01:00,30106.4
2024-01-01T11:30+01:00,30153.6
2024-01-01T11:45+01:00,30221.5
2024-01-01T12:00+01:00,30254.4
2024-01-01T12:15+01:00,30256.4
2024-01-01T12:30+01:00,30263.4
2024-01-01T12:45+01:00,30299.9
2024-01-01T13:00+01:00,30268.2
2024-01-01T13:15+01:00,30088.7
2024-01-01T13:30+01:00,29884.7
2024-01-01T13:45+01:00,29642.4
2024-01-01T14:00+01:00,29421.6
2024-01-01T14:15+01:00,29213.5
2024-01-01T14:30+01:00,29001.4
2024-01-01T14:45+01:00,28774.5
2024-01-01T15:00+01:00,28514.4
